Brand,Prouduct Name,Price,Expected Delivary,Return-Exchange,Availibilty,Img Url
IMAGINEA,Imaginea® 40 inch Acoustic Guitar for Beginner Electric Guitar Premium Wood Curved Cutaway Design Acoustic Guitar with Carry Bag Accessories Melody Maestro Guitar an Incredible Guitar for music,"4,989","Monday, 4 September",7 days Replacement,In stock,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1NzUxNDAxNTExMjkwNjA1OjE2OTMzMTQ0NDQ6c3BfYnRmOjMwMDAzMTMwMTY1MzAzMjo6MDo6&url=%2FImaginea%25C2%25AE-Acoustic-Beginner-Accessories-Incredible%2Fdp%2FB0C69RWYKB%2Fref%3Dsr_1_59_sspa%3Fkeywords%3Dguitar%26qid%3D1693314444%26sr%3D8-59-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
-,-,-,-,-,-,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1NzUxNDAxNTExMjkwNjA1OjE2OTMzMTQ0NDQ6c3BfYnRmOjMwMDA0MzU5ODE1MDUzMjo6MDo6&url=%2Fdp%2FB0CGR8MXTY%2Fref%3Dsr_1_60_sspa%3Fkeywords%3Dguitar%26qid%3D1693314444%26sr%3D8-60-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
Medellin,"Medellin Acoustic Guitar (with guitar learning course) Neon Pink (Combo, Strings,Bag,Picks and guitar course)","2,499","Sunday, 3 September",7 days Replacement,Only 1 left in stock,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0MDIxMTIwNDczOTcxNjA1OjE2OTMzMTQ0NDQ6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDAyNTIxNzI0MTczMjo6MDo6&url=%2FMedellin-Acoustic-Guitar-learning-Strings%2Fdp%2FB0CCNSN9BV%2Fref%3Dsxbs_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.8ea8b837-e8d5-4d1c-96e0-6db92bafe572%253Aamzn1.sym.8ea8b837-e8d5-4d1c-96e0-6db92bafe572%26cv_ct_cx%3Dguitar%26keywords%3Dguitar%26pd_rd_i%3DB0CCNSN9BV%26pd_rd_r%3D87782db9-7414-4799-884e-d20b82eb22d2%26pd_rd_w%3DLFxm9%26pd_rd_wg%3DH7FTy%26pf_rd_p%3D8ea8b837-e8d5-4d1c-96e0-6db92bafe572%26pf_rd_r%3DMFG93DCNWT3065SK7HJD%26qid%3D1693314444%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-1-5305f254-094d-43e2-b889-464ddb5d65bb-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
Medellin,"Medellin Acoustic Guitar (with guitar learning course) Neon Orange (Combo, Strings,Bag,Picks and guitar course)","2,499","Saturday, 2 September",7 days Replacement,In stock,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0MDIxMTIwNDczOTcxNjA1OjE2OTMzMTQ0NDQ6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDAyNTIxNzI0MTYzMjo6MTo6&url=%2FMedellin-Acoustic-Guitar-learning-Strings%2Fdp%2FB0CCNSN6S4%2Fref%3Dsxbs_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.8ea8b837-e8d5-4d1c-96e0-6db92bafe572%253Aamzn1.sym.8ea8b837-e8d5-4d1c-96e0-6db92bafe572%26cv_ct_cx%3Dguitar%26keywords%3Dguitar%26pd_rd_i%3DB0CCNSN6S4%26pd_rd_r%3D87782db9-7414-4799-884e-d20b82eb22d2%26pd_rd_w%3DLFxm9%26pd_rd_wg%3DH7FTy%26pf_rd_p%3D8ea8b837-e8d5-4d1c-96e0-6db92bafe572%26pf_rd_r%3DMFG93DCNWT3065SK7HJD%26qid%3D1693314444%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-2-5305f254-094d-43e2-b889-464ddb5d65bb-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
Kadence,"Kadence rosewood Guitar Frontier Series, Electric Acoustic Black Guitar With EQ, Die Cast Keys, Set Of Strings, Strap, Picks And Bag (Black EQ, Electric Acoustic)","4,999","Saturday, 2 September",7 days Replacement,In stock,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0MDIxMTIwNDczOTcxNjA1OjE2OTMzMTQ0NDQ6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDAxNTUzNzk3OTIzMjo6Mjo6&url=%2FKadence-Frontier-Acoustic-Guitar-Strings%2Fdp%2FB078GTJP5Y%2Fref%3Dsxbs_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.8ea8b837-e8d5-4d1c-96e0-6db92bafe572%253Aamzn1.sym.8ea8b837-e8d5-4d1c-96e0-6db92bafe572%26cv_ct_cx%3Dguitar%26keywords%3Dguitar%26pd_rd_i%3DB078GTJP5Y%26pd_rd_r%3D87782db9-7414-4799-884e-d20b82eb22d2%26pd_rd_w%3DLFxm9%26pd_rd_wg%3DH7FTy%26pf_rd_p%3D8ea8b837-e8d5-4d1c-96e0-6db92bafe572%26pf_rd_r%3DMFG93DCNWT3065SK7HJD%26qid%3D1693314444%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-3-5305f254-094d-43e2-b889-464ddb5d65bb-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
Kadence,"Kadence Slowhand Premium Jumbo Semi Acoustic Guitar with Heavy Padded Bag, guitar cable, Pro Capo (Black Spruce Wood)","11,999","Saturday, 2 September",7 days Replacement,In stock,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0MDIxMTIwNDczOTcxNjA1OjE2OTMzMTQ0NDQ6c3Bfc2VhcmNoX3RoZW1hdGljOjIwMDU3MTkzMDU2MjA0OjozOjo&url=%2FKadence-Slowhand-Premium-Acoustic-Instrument%2Fdp%2FB077SZ667X%2Fref%3Dsxbs_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.8ea8b837-e8d5-4d1c-96e0-6db92bafe572%253Aamzn1.sym.8ea8b837-e8d5-4d1c-96e0-6db92bafe572%26cv_ct_cx%3Dguitar%26keywords%3Dguitar%26pd_rd_i%3DB077SZ667X%26pd_rd_r%3D87782db9-7414-4799-884e-d20b82eb22d2%26pd_rd_w%3DLFxm9%26pd_rd_wg%3DH7FTy%26pf_rd_p%3D8ea8b837-e8d5-4d1c-96e0-6db92bafe572%26pf_rd_r%3DMFG93DCNWT3065SK7HJD%26qid%3D1693314444%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-4-5305f254-094d-43e2-b889-464ddb5d65bb-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
DEVICE OF URBAN INFOTECH,DEVICE OF URBAN INFOTECH 41 inch Acoustic Guitar for Beginners Adults Premium Wood Sunburst Curved Cutaway Design Acoustic Guitar Kit with Carry Bag Guitar for Adults Starters,"5,156","Monday, 4 September",7 days Replacement,In stock,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0MDIxMTIwNDczOTcxNjA1OjE2OTMzMTQ0NDQ6c3Bfc2VhcmNoX3RoZW1hdGljOjIwMTYzOTEzMDU5MDk4Ojo0Ojo&url=%2FDEVICE-URBAN-INFOTECH-Acoustic-Beginners%2Fdp%2FB0C6DVVVCC%2Fref%3Dsxbs_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.8ea8b837-e8d5-4d1c-96e0-6db92bafe572%253Aamzn1.sym.8ea8b837-e8d5-4d1c-96e0-6db92bafe572%26cv_ct_cx%3Dguitar%26keywords%3Dguitar%26pd_rd_i%3DB0C6DVVVCC%26pd_rd_r%3D87782db9-7414-4799-884e-d20b82eb22d2%26pd_rd_w%3DLFxm9%26pd_rd_wg%3DH7FTy%26pf_rd_p%3D8ea8b837-e8d5-4d1c-96e0-6db92bafe572%26pf_rd_r%3DMFG93DCNWT3065SK7HJD%26qid%3D1693314444%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-5-5305f254-094d-43e2-b889-464ddb5d65bb-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
VAULT,Vault DA40 41 Inch Premium Solid Spruce-Top Dreadnought Acoustic Guitar With Allen Key Natural,"7,299","Thursday, 31 August",7 days Replacement,In stock,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxMTMxNTMxNjkyMzYwNToxNjkzMzE0NTYwOnNwX2F0Zl9uZXh0OjIwMDkyNjI0MDIxNDk4OjowOjo&url=%2FPremium-Spruce-Top-Dreadnought-Acoustic-Guitar%2Fdp%2FB0BJK1CWSN%2Fref%3Dsr_1_49_sspa%3Fkeywords%3Dguitar%26qid%3D1693314560%26sr%3D8-49-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
musicalworks.in,-,-,-,-,-,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxMTMxNTMxNjkyMzYwNToxNjkzMzE0NTYwOnNwX2F0Zl9uZXh0OjMwMDAyODA5NDIzMTkzMjo6MDo6&url=%2FMusical-Guitar-Cutaway-038G-Strings%2Fdp%2FB09G1BL9PD%2Fref%3Dsr_1_50_sspa%3Fkeywords%3Dguitar%26qid%3D1693314560%26sr%3D8-50-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
Gibz's guitar,"Gibz's Guitar FT-G41 Frontier Series 41"" Jumbo Semi Acoustic Guitar With Die Cast Keys, Super Combo (Bag, 1 pack Strings, Strap, Picks, Capo (Natural)","6,999","Saturday, 2 September",7 days Replacement,In stock,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxMTMxNTMxNjkyMzYwNToxNjkzMzE0NTYwOnNwX2F0Zl9uZXh0OjIwMTYwOTQxODA4NDk4OjowOjo&url=%2FGibzs-FT-G41-Frontier-Acoustic-Strings%2Fdp%2FB0BY5DBMVW%2Fref%3Dsr_1_51_sspa%3Fkeywords%3Dguitar%26qid%3D1693314560%26sr%3D8-51-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
Guitar Bro,-,-,-,-,-,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxMTMxNTMxNjkyMzYwNToxNjkzMzE0NTYwOnNwX2F0Zl9uZXh0OjIwMDQ5MTI5MTM2MzAxOjowOjo&url=%2FGUITAR-BRO-Acoustic-Beginner-Accessories%2Fdp%2FB07TC7TWCR%2Fref%3Dsr_1_52_sspa%3Fkeywords%3Dguitar%26qid%3D1693314560%26sr%3D8-52-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
-,-,-,-,-,-,https://www.amazon.in/JUAREZ-JRZ38C-Handed-Acoustic-Strings/dp/B01FYYTDX6/ref=sr_1_53?keywords=guitar&qid=1693314560&sr=8-53
VAULT,"Vault Junior 30 Inch Acoustic Guitar for Kids with Truss Rod, Gig-Bag, Strings, Straps, Picks, String winder, Polishing Cloth & E-Book - Natural Gloss","3,799","Thursday, 31 August",7 days Replacement,In stock,https://www.amazon.in/Junior-Acoustic-Guitar-Strings-Polishing/dp/B07RMJ88G2/ref=sr_1_54?keywords=guitar&qid=1693314560&sr=8-54
VAULT,Vault PA36 Parlor Body Compact Acoustic Guitar with Standard Scale Length Natural,"7,124","Thursday, 31 August",7 days Replacement,In stock,https://www.amazon.in/Parlor-Compact-Acoustic-Guitar-Standard/dp/B0BJK1332J/ref=sr_1_55?keywords=guitar&qid=1693314560&sr=8-55
-,-,-,-,-,-,https://www.amazon.in/Kadence-strings-Slowhand-Acoustic-KSH04-12EQ/dp/B0CGDG462X/ref=sr_1_56?keywords=guitar&qid=1693314560&sr=8-56
JUAREZ,"Juârez JRZ38C/ASH 6 Strings Acoustic Guitar 38 Inch Cutaway, Right Handed, Ash with Bag, Strings, Picks and Strap","2,799","Thursday, 31 August",7 days Replacement,In stock,https://www.amazon.in/Juarez-JRZ38C-ASH-Strings-Acoustic/dp/B072JTPNZC/ref=sr_1_57?keywords=guitar&qid=1693314560&sr=8-57
-,-,-,-,-,-,https://www.amazon.in/Cort-AD810E-Dreadnought-Electro-Acoustic/dp/B00V9RNUD2/ref=sr_1_58?keywords=guitar&qid=1693314560&sr=8-58
Kadence,"Kadence Frontier 34inch guitar for Kids, Travel Guitar for Adult Acoustic Guitar with Die Cast Keys, Set of Strings, Strap, Picks and Bag (Black Guitar)","2,999","Sunday, 3 September",7 days Replacement,Only 1 left in stock,https://www.amazon.in/Kadence-Professional-Guitar-Years-Strings/dp/B07YZK5B2Z/ref=sr_1_59?keywords=guitar&qid=1693314560&sr=8-59
HOVNER,"Hovner 215 Black F-Cut Rosewood Fretboard Acoustic Guitar With Bag,Strap,1 Set of Extra Strings and 2 Picks By K-Retail","4,580","Friday, 8 September",7 days Replacement,In stock,https://www.amazon.in/Rosewood-Fretboard-Acoustic-Strings-K-Retail/dp/B07KLG8C4P/ref=sr_1_60?keywords=guitar&qid=1693314560&sr=8-60
Generic,-,-,-,-,-,https://www.amazon.in/Generic-G001-Acoustic-Guitar/dp/B0CCKRBHF6/ref=sr_1_61?keywords=guitar&qid=1693314560&sr=8-61
AUREUS,-,-,-,-,-,https://www.amazon.in/AUREUS-Acoustic-Instrument-Educational-Beginners/dp/B09W12QFQD/ref=sr_1_62?keywords=guitar&qid=1693314560&sr=8-62
-,-,-,-,-,-,https://www.amazon.in/Yamaha-F310-Acoustic-Guitar-Natural/dp/B08Z3C1GRM/ref=sr_1_63?keywords=guitar&qid=1693314560&sr=8-63
VAULT,Vault Artisan Premium Acoustic Guitar with Solid Spruce Top and Solid Mahogany Back and Sides Natural,"23,274","Thursday, 31 August",7 days Replacement,In stock,https://www.amazon.in/Vault-Artisan-Premium-Acoustic-Guitar/dp/B09P179GCM/ref=sr_1_64?keywords=guitar&qid=1693314560&sr=8-64
Kadence,"Kadence Frontier Semi Acoustic Jumbo Guitar 41"" with Learning Course, Die cast keys with Super Combo (Bag,strap,strings,capo And 3 picks) (Black, Electric Acoustic)","6,899","Saturday, 2 September",7 days Replacement,In stock,https://www.amazon.in/Kadence-Frontier-Acoustic-Guitar-Equalizer/dp/B01HRIHJWY/ref=sr_1_65?keywords=guitar&qid=1693314560&sr=8-65
Kadence,Kadence Acoustica Series Semi Acoustic Ash Wood with Equlizer A-06 (Guitar Super Combo with Accessories),"8,499","Sunday, 3 September",7 days Replacement,In stock,https://www.amazon.in/Kadence-Acoustica-Acoustic-Equlizer-Accessories/dp/B09BVH7BMJ/ref=sr_1_66?keywords=guitar&qid=1693314560&sr=8-66
Intern,"Intern INT-38C-NT-G 38 Incheses lindenwood Right HAnded Acoustic Guitar Kit With Bag, Strings, Pick And Strap (Natural, 6-Strings)","2,139","Thursday, 31 August",7 days Replacement,In stock,https://www.amazon.in/Intern-INT-38C-NT-G-Guitar-Kit-Natural/dp/B07K9MZZH9/ref=sr_1_67?keywords=guitar&qid=1693314560&sr=8-67
-,-,-,-,-,-,https://www.amazon.in/Ibanez-MD39C-NT-Cutaway-Acoustic-MD39CSB/dp/B07KYKTRKX/ref=sr_1_68?keywords=guitar&qid=1693314560&sr=8-68
-,-,-,-,-,-,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxMTMxNTMxNjkyMzYwNToxNjkzMzE0NTYwOnNwX210ZjoyMDA3Nzg2ODU4NjI5ODo6MDo6&url=%2FRight-Search-Mini-Musical-Guitar%2Fdp%2FB0B6FJNP9S%2Fref%3Dsr_1_69_sspa%3Fkeywords%3Dguitar%26qid%3D1693314560%26sr%3D8-69-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
DEVICE OF URBAN INFOTECH,DEVICE OF URBAN INFOTECH 40 inch Acoustic Guitar for Beginners Adults Premium Wood Curved Cutaway Design Acoustic Guitar Kit with Carrying Gig Bag Guitar for Adults Starters Students (Beige),"5,449","Monday, 4 September",7 days Returnable,In stock,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxMTMxNTMxNjkyMzYwNToxNjkzMzE0NTYwOnNwX210ZjozMDAwNDEyNjc1NDQyMzI6OjA6Og&url=%2FDEVICE-URBAN-INFOTECH-Acoustic-Beginners%2Fdp%2FB0CDS672C5%2Fref%3Dsr_1_70_sspa%3Fkeywords%3Dguitar%26qid%3D1693314560%26sr%3D8-70-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
IMAGINEA,Imaginea® 40 inch Acoustic Guitar for Beginner Electric Guitar Premium Wood Curved Cutaway Design Acoustic Guitar with Carry Bag Accessories Melody Maestro Guitar an Incredible Guitar for music,"5,449","Monday, 4 September",7 days Returnable,In stock,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxMTMxNTMxNjkyMzYwNToxNjkzMzE0NTYwOnNwX210ZjozMDAwMzEzMDE2NTI4MzI6OjA6Og&url=%2FImaginea%25C2%25AE-Acoustic-Beginner-Accessories-Incredible%2Fdp%2FB0CDS99DSG%2Fref%3Dsr_1_71_sspa%3Fkeywords%3Dguitar%26qid%3D1693314560%26sr%3D8-71-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
Generic,-,-,-,-,-,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxMTMxNTMxNjkyMzYwNToxNjkzMzE0NTYwOnNwX210ZjozMDAwMzQ3NDEzODc2MzI6OjA6Og&url=%2FGT-KIT-003-Changing-Multicolored-Acoustic%2Fdp%2FB0C28BNXJW%2Fref%3Dsr_1_72_sspa%3Fkeywords%3Dguitar%26qid%3D1693314560%26sr%3D8-72-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
-,-,-,-,-,-,https://www.amazon.in/JUAREZ-Arp%C3%A9ggio-Acoustic-Guitar-Spruce/dp/B08KGCFXKP/ref=sr_1_73?keywords=guitar&qid=1693314560&sr=8-73
-,-,-,-,-,-,https://www.amazon.in/Juarez-Acoustic-Cutaway-BK-Strings/dp/B076T3RHMG/ref=sr_1_74?keywords=guitar&qid=1693314560&sr=8-74
Intern,"Intern INT-38C 38 Incheses basswood-BLS-G Cutaway Right HAnded Acoustic Guitar Kit, With Bag, Strings, Pick And Strap (Blue, 6 Strings)","2,149","Thursday, 31 August",7 days Replacement,In stock,https://www.amazon.in/Intern-INT-38C-BLS-G-Guitar-Kit-Blue/dp/B07K8YXTNW/ref=sr_1_75?keywords=guitar&qid=1693314560&sr=8-75
JUAREZ,"Juârez JRZ38C/MAH 6 Strings Acoustic Guitar 38 Inch Cutaway, Right Handed, Mahogany with Bag, Strings, Picks and Strap","2,799","Thursday, 31 August",7 days Replacement,In stock,https://www.amazon.in/JRZ38C-Strings-Acoustic-Cutaway-Mahogany/dp/B071JM8C6T/ref=sr_1_76?keywords=guitar&qid=1693314560&sr=8-76
Kadence,"Kadence A281 Professional Acoustic Rosewood guitar (Natural, Beige)","6,499","Saturday, 2 September",7 days Replacement,In stock,https://www.amazon.in/Kadence-Professional-Acoustic-Rosewood-Natural/dp/B0CC927DLN/ref=sr_1_77?keywords=guitar&qid=1693314560&sr=8-77
-,-,-,-,-,-,https://www.amazon.in/Ibanez-MD39C-NT-Cutaway-Acoustic-Polishing/dp/B084BQJCP8/ref=sr_1_78?keywords=guitar&qid=1693314560&sr=8-78
-,-,-,-,-,-,https://www.amazon.in/Cort-CAP810-OP-Acoustic-Plectrums-Complete/dp/B08D7SWGG5/ref=sr_1_79?keywords=guitar&qid=1693314560&sr=8-79
-,-,-,-,-,-,https://www.amazon.in/Juarez-Acoustic-Guitar-Cutaway-JRZ38CT/dp/B01N3TTYJQ/ref=sr_1_80?keywords=guitar&qid=1693314560&sr=8-80
-,-,-,-,-,-,https://www.amazon.in/JRZ-ST01-6-String-Electric-Sunburst-Without/dp/B01FYZSOEE/ref=sr_1_81?keywords=guitar&qid=1693314560&sr=8-81
-,-,-,-,-,-,https://www.amazon.in/Pluto-HW39C-201-Medium-Cutaway-Acoustic/dp/B014R94EE2/ref=sr_1_82?keywords=guitar&qid=1693314560&sr=8-82
GIVSON,-,-,-,-,-,https://www.amazon.in/Givson-Ketostics-Guitar-Acoustic-Plectrums/dp/B08KS5MRSC/ref=sr_1_83?keywords=guitar&qid=1693314560&sr=8-83
-,-,-,-,-,-,https://www.amazon.in/Cort-AF515CE-6-String-Electro-Acoustic/dp/B07P6XSHQC/ref=sr_1_84?keywords=guitar&qid=1693314560&sr=8-84
-,-,-,-,-,-,https://www.amazon.in/Yamaha-Acoustic-Guitar-Tobacco-Sunburst/dp/B08VXR74Q2/ref=sr_1_85?keywords=guitar&qid=1693314560&sr=8-85
-,-,-,-,-,-,https://www.amazon.in/Fender-String-Cutaway-Acoustic-Guitar/dp/B07YX5W8MV/ref=sr_1_86?keywords=guitar&qid=1693314560&sr=8-86
Fender,-,-,-,-,-,https://www.amazon.in/Fender-FA-345CE-Auditorium-Bodied-Acoustic/dp/B07BCN55VP/ref=sr_1_87?keywords=guitar&qid=1693314560&sr=8-87
-,-,-,-,-,-,https://www.amazon.in/Blueberry-Acoustic-Guitar-Inbuilt-Strings/dp/B07PHZ16BG/ref=sr_1_88?keywords=guitar&qid=1693314560&sr=8-88
Kadence,"Kadence Astro Man Electric Guitar, with Free learning course 24 FRETS, H- S - S PICK UPS Walnut Top with Alder wood Back and Sides (white) With Amplifier","9,999","Thursday, 31 August",7 days Replacement,In stock,https://www.amazon.in/Kadence-Astro-Electric-Guitar-FRETS/dp/B09YHPH1MZ/ref=sr_1_89?keywords=guitar&qid=1693314560&sr=8-89
Neowood,"Neowood FLYM, Acoustic Guitar with Touch Pikup, Bag, Plectrums, finger Protectors & Neowood String Set (Wine red)","5,299","Monday, 4 September",7 days Replacement,In stock,https://www.amazon.in/Neowood-FLYM-Acoustic-Plectrums-Protectors/dp/B0BPCLSJH3/ref=sr_1_90?keywords=guitar&qid=1693314560&sr=8-90
Medellin,"Medellin M38 carbon fiber body 38 Incheses Acoustic Guitar (Black) Durable Matt finish With hAndrest, strings, strap, bag, 3 Picks, capo, stAnd","2,499","Sunday, 3 September",7 days Replacement,In stock,https://www.amazon.in/Medellin-Acoustic-Guitar-Carbon-Learning/dp/B09MSGQQWX/ref=sr_1_91?keywords=guitar&qid=1693314560&sr=8-91
YAMAHA,Yamaha FS80C 25 Incheses sprucewood The Ultimate Concert Body Cutaway Acoustic Guitar (Black) With Bajaao Gig-Bag,"8,749","Thursday, 31 August",7 days Replacement,In stock,https://www.amazon.in/Ultimate-Concert-Cutaway-Acoustic-Bajaao/dp/B08WHWKKV5/ref=sr_1_92?keywords=guitar&qid=1693314560&sr=8-92
-,-,-,-,-,-,https://www.amazon.in/Cort-AF510E-Semi-Acoustic-Guitar-Black/dp/B00L5F93DE/ref=sr_1_93?keywords=guitar&qid=1693314560&sr=8-93
-,-,-,-,-,-,https://www.amazon.in/JUAREZ-Arpeggio-Guitar-JRA39SR-BL-K-blue/dp/B08MWB5Y67/ref=sr_1_94?keywords=guitar&qid=1693314560&sr=8-94
DOMENICO,DOMENICO Guitar 4-String plastic Acoustic Guitar Musical Instrument For Learning (23 Inches),949,"Monday, 4 September",7 days Replacement,In stock,https://www.amazon.in/DOMENICO-4-String-Acoustic-Instrument-Learning/dp/B09M9VKRK8/ref=sr_1_95?keywords=guitar&qid=1693314560&sr=8-95
-,-,-,-,-,-,https://www.amazon.in/Yamaha-FSX80C-Acoustic-Cutaway-Guitar/dp/B09HL5WFDX/ref=sr_1_96?keywords=guitar&qid=1693314560&sr=8-96
Medellin,"Medellin Acoustic Guitar + (Free online learning Course) Neon Green with Strings,Bag,Picks and guitar strap.","2,499","Saturday, 2 September",7 days Replacement,In stock,https://www.amazon.in/Medellin-Acoustic-Guitar-learning-Strings/dp/B0CCNS2NDX/ref=sr_1_97?keywords=guitar&qid=1693314560&sr=8-97
-,-,-,-,-,-,https://www.amazon.in/Ibanez-GA5TCE-Strings-Right-Handed-Fretboard/dp/B00LJV9OAQ/ref=sr_1_98?keywords=guitar&qid=1693314560&sr=8-98
Intern,"Intern INT-38C-RD-G Linden Wood Cutaway Right Handed Acoustic Guitar Kit, With Bag, Strings, Pick And Strap (Red, 6 Strings)","2,099","Thursday, 31 August",7 days Replacement,In stock,https://www.amazon.in/Intern-INT-38C-RD-G-Guitar-Kit-Red/dp/B07K959RKX/ref=sr_1_99?keywords=guitar&qid=1693314560&sr=8-99
-,-,-,-,-,-,https://www.amazon.in/Yamaha-FS100C-Acoustic-Guitar-Natural/dp/B08Z3DVN8N/ref=sr_1_100?keywords=guitar&qid=1693314560&sr=8-100
Ibanez,"Ibanez GRG170DX 40 Inches Wood Electric Guitar, Black","23,339","Thursday, 31 August",7 days Replacement,In stock,https://www.amazon.in/Ibanez-GRG170DX-Electric-Guitar-Black/dp/B001EM180O/ref=sr_1_101?keywords=guitar&qid=1693314560&sr=8-101
-,-,-,-,-,-,https://www.amazon.in/Juarez-Arp%C3%A9ggio-Semi-Acoustic-Guitar-Spruce/dp/B08KHR4BJZ/ref=sr_1_102?keywords=guitar&qid=1693314560&sr=8-102
JUAREZ,"Juârez JRZ38C/VTS 6 Strings Acoustic Guitar 38 Inch Cutaway, Right Handed, Violet/Purple with Bag, Strings, Picks and Strap","2,649","Thursday, 31 August",7 days Replacement,In stock,https://www.amazon.in/JRZ38C-VTS-Strings-Acoustic-Cutaway/dp/B072MFLQC9/ref=sr_1_103?keywords=guitar&qid=1693314560&sr=8-103
Intern,"Intern INT-38C-SB-G Linden Wood Cutaway Right Handed Acoustic Guitar Kit, With Bag, Strings, Pick And Strap (Sunburst, 6 Strings)","2,149","Thursday, 31 August",7 days Replacement,In stock,https://www.amazon.in/Intern-INT-38C-SB-G-Guitar-Kit-Sunburst/dp/B07K8WLPLH/ref=sr_1_104?keywords=guitar&qid=1693314560&sr=8-104
Generic,-,-,-,-,-,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxMTMxNTMxNjkyMzYwNToxNjkzMzE0NTYwOnNwX2J0ZjozMDAwMzQ3NDEzODg4MzI6OjA6Og&url=%2FAcoustic-Plectrum-Accessories-Electric-Classical%2Fdp%2FB0C65YMH3X%2Fref%3Dsr_1_105_sspa%3Fkeywords%3Dguitar%26qid%3D1693314560%26sr%3D8-105-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
-,-,-,-,-,-,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxMTMxNTMxNjkyMzYwNToxNjkzMzE0NTYwOnNwX2J0ZjozMDAwMzQ3NDEzODg2MzI6OjA6Og&url=%2FStrings-Changing-Multicolored-Acoustic-Guitars%2Fdp%2FB0C6FDW837%2Fref%3Dsr_1_106_sspa%3Fkeywords%3Dguitar%26qid%3D1693314560%26sr%3D8-106-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
